analysis_id,156u644su129d6v
mouse_life_stage,Early adult
pvalue,0.08581308
gene_symbol,Sla2
parameter_name,Coat colouration
gene_accession_id,MGI:1925049
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
