parameter_name,% Freezing duration pre-cue-2
pvalue,0.8087458
analysis_id,z3q0i6kz9p9nu07
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ppm1j
parameter_id,ICS_FEA_019_001
