analysis_id,p9t5o934y4lq894
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_symbol,Sfpq
parameter_name,Caudal processes
pvalue,0.7729485
mouse_strain,C57BL
gene_accession_id,MGI:1918764
