analysis_id,4lkm894c0j62dy7
gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.8460143
parameter_id,JAXLA_OFD_007_001
gene_accession_id,MGI:95835
parameter_name,Whole arena resting time
mouse_life_stage,E9.5
