gene_symbol,Rab17
pvalue,0.1679946
parameter_id,IMPC_CSD_008_001
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
gene_accession_id,MGI:104640
analysis_id,ji817mf5mn22144
