parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_symbol,Cd52
gene_accession_id,MGI:1346088
pvalue,0.7392808
parameter_name,Total holepokes
analysis_id,7a61karje5lbet1
mouse_life_stage,Early adult
