gene_symbol,Ints7
analysis_id,w6nmy968gox7p6f
pvalue,0.4600657
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_name,Placenta Size
