parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
pvalue,0.5068061
analysis_id,8q713a7g1pg22e7
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_strain,C57BL
mouse_life_stage,Early adult
