gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
pvalue,0.3870977
analysis_id,sd3q86bxreepn65
mouse_strain,C57BL
gene_accession_id,MGI:1914556
