gene_symbol,Col11a1
analysis_id,c73x7436q5e9u05
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:88446
pvalue,0.7027505
