gene_symbol,Mms22l
mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
analysis_id,1h2y7n04cek1934
pvalue,0.8846669
parameter_id,MGP_PBI_033_001
