parameter_name,center - resting time
analysis_id,cal54w74vd8f0x2
mouse_life_stage,Early adult
pvalue,0.5041014
gene_accession_id,MGI:2135738
parameter_id,M-G-P_007_001_011
gene_symbol,Abo
mouse_strain,C57BL
