analysis_id,u64dy551440zep6
pvalue,0.3538749
mouse_strain,C57BL
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
mouse_life_stage,Early adult
