analysis_id,6bkz012bx54em4x
parameter_id,IMPC_ECH_008_001
pvalue,0.3468731
mouse_strain,C57BL
gene_accession_id,MGI:3650254
parameter_name,LVIDd
gene_symbol,Zfp683
mouse_life_stage,Early adult
