parameter_name,Mean cell volume
mouse_life_stage,Early adult
analysis_id,yk7nw9pa8248myk
gene_symbol,Duoxa2
pvalue,0.7046397
mouse_strain,C57BL
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:1914061
