parameter_name,Placenta Morphology
pvalue,0.5514738
mouse_life_stage,Early adult
gene_symbol,Gfi1b
analysis_id,0aoa28073g3souc
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:1276578
