gene_symbol,Wars2
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1917810
mouse_strain,C57BL
analysis_id,boom7byl77rx9dc
parameter_name,Number of centre entries
pvalue,0.8798709
mouse_life_stage,E12.5
