parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dhdds
pvalue,0.7449449
analysis_id,c7hhi1x983q6e04
parameter_id,ESLIM_007_001_009
gene_accession_id,MGI:1914672
