gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
mouse_life_stage,Early adult
pvalue,0.2983097
analysis_id,bu79azs7drg5f86
