analysis_id,b4173y0y0gv1j6c
pvalue,0.3783465
mouse_life_stage,Early adult
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
parameter_id,IMPC_DXA_004_001
