parameter_name,Narrow eye opening
analysis_id,mn0l7a3y99000t6
mouse_strain,C57BL
gene_symbol,Atg4c
pvalue,0.2580347
gene_accession_id,MGI:2651854
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
