analysis_id,0kph3683w024p1y
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_id,MGP_MLN_066_001
pvalue,0.1911769
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
