analysis_id,8v13t412mt3n3ni
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
gene_symbol,Pld1
gene_accession_id,MGI:109585
pvalue,0.07292381
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
