gene_symbol,Lamb3
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.7330266
analysis_id,17z9ae2yo024k1a
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
