gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:2446186
pvalue,0.5778566
mouse_life_stage,Middle aged adult
parameter_name,Bone Mineral Density (excluding skull)
analysis_id,nutc593zx21dq3x
