parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
analysis_id,m431dvaxn4932z6
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Slx4ip
pvalue,0.8633264
