gene_symbol,Cmpk1
mouse_strain,C57BL
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
pvalue,0.1194433
parameter_name,% Pre-pulse inhibition - PPI4
analysis_id,eqbhm4t4c216803
