analysis_id,18jx7vsvh39ti2y
pvalue,0.9214014
parameter_name,Percentage center time
gene_symbol,Slc2a8
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1860103
