analysis_id,r9485306744es09
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.3057695
