parameter_name,lens
analysis_id,6ai183f8bb3thw0
pvalue,0.1038823
gene_symbol,Clvs1
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_id,M-G-P_014_001_009
