gene_symbol,Lurap1
analysis_id,j70z3avf44h3ur9
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5013153
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
gene_accession_id,MGI:1915325
