analysis_id,07fow3fkc302570
mouse_life_stage,Early adult
parameter_name,Cornea
gene_symbol,Nr0b2
pvalue,0.6766045
gene_accession_id,MGI:1346344
mouse_strain,B6J
parameter_id,IMPC_EYE_007_001
