parameter_id,IMPC_OWT_004_001
analysis_id,6o531crb6751qq6
parameter_name,Right kidney weight
pvalue,0.08761694
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
mouse_strain,C57BL
