parameter_name,Corneal opacity
analysis_id,08i66c3lgsg09pv
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
pvalue,0.3028572
