gene_symbol,Gfi1b
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,raiq57lyq868739
pvalue,0.5983683
gene_accession_id,MGI:1276578
