parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,Rap2b
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
pvalue,0.5264957
gene_accession_id,MGI:1921262
analysis_id,eqr78j8jlnud4e2
