parameter_name,QT
analysis_id,crq397u2858ow8r
pvalue,0.2354213
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_028_001
