gene_symbol,Mms22l
mouse_strain,C57BL
analysis_id,c4804wfs1mh19uu
pvalue,0.7663471
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
