parameter_name,Neural tube closure
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1460576
gene_accession_id,MGI:1914061
parameter_id,IMPC_GEL_027_001
analysis_id,aq9kjo9oww2zt14
gene_symbol,Duoxa2
