analysis_id,t3g04k9161ov9z0
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2670995
pvalue,0.5629747
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
