analysis_id,t6eb79518jd95sm
parameter_name,Hindlimbs - shape
pvalue,0.2461019
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
