gene_symbol,Steap3
pvalue,0.1053039
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
analysis_id,26vq90o4w1dwpa4
