analysis_id,3p05mua72ls8l53
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
pvalue,0.3011306
gene_symbol,Tox
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
