parameter_name,White blood cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_001_001
pvalue,0.5843279
gene_accession_id,MGI:99605
gene_symbol,Cntfr
analysis_id,63bp549612984b3
mouse_life_stage,Early adult
