analysis_id,73p5p173xt6zl4x
gene_accession_id,MGI:3026886
parameter_name,Placenta Morphology
pvalue,0.5501337
parameter_id,IMPC_GPO_002_001
gene_symbol,Cdin1
mouse_life_stage,Early adult
mouse_strain,C57BL
