gene_symbol,AU040320
parameter_name,Bone Area
pvalue,0.2669179
gene_accession_id,MGI:2140475
mouse_strain,C57BL
analysis_id,k9na2es63300kco
mouse_life_stage,Late adult
parameter_id,IMPC_DXA_010_001
