parameter_name,110dB startle magnitude
analysis_id,68sfii44g11694x
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2093875
parameter_id,ESLIM_011_001_006
gene_symbol,Usp37
