parameter_name,DN CD25- NKT cells
mouse_strain,C52BL
mouse_life_stage,Early adult
gene_symbol,Wars2
pvalue,0.5738911
gene_accession_id,MGI:1917810
analysis_id,82gln7kb2ex529j
parameter_id,IMPC_IMM_025_001
