analysis_id,20ya4uzna412xap
gene_symbol,Slc39a10
parameter_name,Ly6Clow monocyte percentage
gene_accession_id,MGI:1914515
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
pvalue,0.6421476
