parameter_name,Heart weight
mouse_life_stage,Early adult
analysis_id,3a2tii5fyi0tdk7
mouse_strain,C54BL
gene_symbol,Fgb
pvalue,0.5358573
gene_accession_id,MGI:99501
parameter_id,HMGULA_HWT_008_001
