analysis_id,yp973t451fa16v2
mouse_strain,C57BL
pvalue,0.7410575
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_id,HMGULA_HWT_008_001
gene_symbol,Dhdds
parameter_name,Heart weight
