analysis_id,0019x8m3597s86p
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
gene_symbol,Duoxa2
mouse_strain,C57BL
gene_accession_id,MGI:1914061
parameter_name,Sodium
pvalue,5.527157e-11
