gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
analysis_id,g057225aa1y0vjt
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1920638
pvalue,0.5063449
