analysis_id,n086s727mh7i3o1
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1921688
pvalue,0.9222135
parameter_id,MGP_IMM_006_001
gene_symbol,Clvs1
mouse_strain,C57BL
mouse_life_stage,Early adult
