analysis_id,0a8665p7suukjtk
parameter_id,M-G-P_006_001_026
pvalue,0.05463854
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
