parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
pvalue,0.9437952
mouse_life_stage,Early adult
gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
analysis_id,15os61bmzb39b36
