parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1913483
parameter_id,IMPC_IMM_025_001
mouse_life_stage,E9.5
analysis_id,4122123db7n6b0d
mouse_strain,C57BL
pvalue,0.4100381
gene_symbol,Dmap1
