analysis_id,f36d669ppxnzl28
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
parameter_name,lens opacity
mouse_strain,C57BL
pvalue,0.3558994
gene_symbol,Cmpk1
parameter_id,M-G-P_014_001_010
