analysis_id,5h99t549556mi8c
gene_symbol,Mov10
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:97054
parameter_name,Eosinophils - % of CD45+
pvalue,0.1262966
