analysis_id,1ksn6l53c522ja9
gene_accession_id,MGI:2385156
mouse_strain,C57BL
parameter_name,Placenta Morphology
pvalue,0.7979739
parameter_id,IMPC_GPO_002_001
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
