analysis_id,3my189c6f57sh31
mouse_life_stage,Early adult
gene_symbol,Rgs20
mouse_strain,C57BL
parameter_name,PP4 + pulse startle magnitude
pvalue,0.8312705
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:1929866
