gene_symbol,Slx4ip
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
analysis_id,h0z636z800d16v9
gene_accession_id,MGI:1921493
parameter_id,MGP_IMM_078_001
pvalue,0.1196616
