parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
pvalue,0.1375938
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
analysis_id,k550ts203h10xtp
