gene_symbol,Ift74
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
analysis_id,jmi32ygxpgej04o
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1914944
pvalue,0.5720742
mouse_life_stage,Early adult
